NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
377,2714,tt0478311,Knocked Up,2007,188,comedy,1,,
378,4489,tt0079417,Kramer vs. Kramer,1979,367,drama,3,,
379,1077,tt0119485,Kundun,1997,10,drama,2,,
382,1080,tt0119488,L.A. Confidential,1997,122,crime,3,,
383,2728,tt0139414,Lake Placid,1999,54,horror,0,,
384,2733,tt1583420,Larry Crowne,2011,39,comedy,1,,
385,2736,tt1046947,Last Chance Harvey,2008,18,drama,3,,
386,2743,tt0070849,Last Tango in Paris,1972,NA,drama,3,,
387,1091,tt1197624,Law Abiding Citizen,2009,85,crime,1,,
388,2745,tt0113627,Leaving Las Vegas,1995,64,drama,3,,
390,4515,tt0089469,Legend,1985,37,sci-fi,2,,
391,1094,tt1038686,Legion,2010,44,action,1,,
393,4519,tt0110413,L̩eon: The Professional,1994,67,crime,1,,
394,2754,tt1707386,Les Mis̩rables,2012,162,drama,3,,
395,1097,tt0097737,Leviathan,1989,34,horror,1,,
396,2762,tt0123964,Life,1999,109,comedy,2,,
397,2764,tt0264796,Life as a House,2001,23,drama,3,,
398,2769,tt0454876,Life of Pi,2012,136,sci-fi,3,,
399,2770,tt0102307,Light Sleeper,1992,2,drama,1,,
400,2775,tt1219289,Limitless,2011,86,sci-fi,1,,
401,2777,tt0443272,Lincoln,2012,198,drama,3,,
402,1107,tt0417907,Little Athens,2005,NA,drama,0,,
403,2785,tt0185431,Little Nicky,2000,63,comedy,1,,
404,2787,tt0113677,Living in Oblivion,1995,2,drama,1,,
405,2789,tt0120735,Lock  Stock and Two Smoking Barrels,1998,6,crime,2,,
406,4543,tt0074812,Logan's Run,1976,102,sci-fi,2,,
407,2793,tt0116905,Lone Star,1996,26,drama,3,,
408,2799,tt0113690,Lord of Illusions,1995,26,horror,1,,
409,2804,tt0399295,Lord of War,2005,32,crime,1,,
410,4561,tt0116922,Lost Highway,1997,7,drama,1,,
413,2812,tt0335266,Lost in Translation,2003,64,drama,3,,
414,4565,tt0160484,Lost Souls,2000,27,horror,1,,
415,2814,tt0199725,Love & Basketball,2000,44,drama,1,,
416,2815,tt0985694,Machete,2010,29,action,1,,
417,2816,tt1586752,Machine Gun Preacher,2011,0,action,2,,
418,4572,tt0227005,Made,2001,8,comedy,1,,
419,2821,tt0175880,Magnolia,1999,38,drama,3,,
420,2824,tt0097815,Major League,1989,109,comedy,1,,
421,1126,tt0104797,Malcolm X,1992,101,drama,3,,
422,1128,tt0328107,Man on Fire,2004,109,action,1,,
423,2833,tt0125664,Man on the Moon,1999,59,drama,3,,
424,1129,tt0104804,Man Trouble,1992,8,comedy,1,,
425,2846,tt0107507,Manhattan Murder Mystery,1993,23,comedy,3,,
426,1136,tt0091474,Manhunter,1986,20,crime,1,,
427,2852,tt1615147,Margin Call,2011,5,drama,3,,
428,2854,tt0757361,Margot at the Wedding,2007,2,drama,1,,
429,2858,tt1441326,Martha Marcy May Marlene,2011,3,drama,1,,
430,4228,tt0109836,Mary Shelley's Frankenstein,1994,45,horror,2,,
431,2865,tt0311113,Master and Commander: The Far Side of the World,2003,135,drama,3,,
432,1146,tt0467197,Max Payne,2008,49,action,1,,
433,4606,tt0070379,Mean Streets,1973,NA,crime,1,,
434,2881,tt0119643,Meet Joe Black,1998,82,sci-fi,1,,
436,2887,tt0209144,Memento,2000,41,crime,3,,
437,1148,tt0119654,Men in Black,1997,473,action,3,,
438,2894,tt1409024,Men in Black 3,2012,195,action,1,,
439,1152,tt0119664,Metro,1997,60,comedy,1,,
441,1155,tt0077928,Midnight Express,1978,130,drama,3,,
442,4626,tt0113820,Mighty Morphin Power Rangers: The Movie,1995,75,action,1,,
443,2918,tt0119675,Mimic,1997,48,sci-fi,1,,
